Student,Gender,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Day 21
244,female,9.25,11.66666667,5.083333333,10,11.41666667,10.16666667,6.5,7.666666667,7,6.5,9.666666667,11.66666667,8.750033333,6.083333333,5.916666667,3.75,5.1667,8.416666667,4.999996667,5.75,5.5833
245,female,7,7,7.583333333,5.666666667,5.3333,7.5,5.333333333,7,7.666666667,8.666666667,11.5,8.333333333,7.75,7.25,4.6667,7,8.25,9.666666667,8.25,9.333333333,6.416666667
246,female,5.833333333,10.58333333,10.41666633,11.58333333,5.416666667,6.5,9.533336667,7.250033333,10.25,6.250036667,7.6,6.9333,8.05,7.8667,5.916666667,8.250333333,9.766666667,10.16666667,5.666666667,8.166666667,7.633
247,female,4.416666667,8.466633333,8,9.149966667,8.6667,6.25,3.783333333,6.666666667,8.2167,12.2,9.766666667,8.750033333,6.499966667,7.999996667,6.25,8.9667,8.416666667,7.916666667,8.5,6.583333333,7.666666667
248,male,6.8833,6.416666667,10.08336667,5.916666667,9.75,8.583333333,8.5,8.583333333,9.500003333,7.416666667,9.416666667,10.25,10.41666667,10.41666667,8.666666667,9.416666667,2,13.25,8.583333333,8.416666667,5.25
249,male,7.916666667,8.166666667,8.416666667,9.083333333,8.333333333,7.833333333,8.916666667,8.416666667,7.333333333,7.416666667,9.75,8.333333333,8.083333333,7.916666667,8.916666667,8.416666667,6.25,8.833333333,7.916666667,8.666666667,7.833333333
250,male,6.75,5.583333333,7.75,6.166666667,7.666666667,7.166666667,6.666666667,7.583333333,7.25,7,7.333333333,6.583333333,6,5.75,7.166666667,7.416666667,4.583333333,7.333333333,7.416633333,7.25,6.416666667
251,male,8.75,7.65,8.133333333,9.05,9.25,8.583333333,9.083333333,9.083333333,8.75,6.833333333,6.916666667,10.91666667,10.41666667,8.75,8.833333333,9.25,8.416666667,8.166666667,8.083333333,8.083333333,8.25
252,female,9.833333333,9.75,11.25,11.16666667,10.16666667,9.583333333,9.5,10.33333333,10.83333333,12.25,11.16666667,10.66666667,10.66666667,9.583333333,10.16666667,11.25,12.25,10.08333333,10.08333333,9.583333333,10.16666667
253,female,7.749963333,8.583333333,7.59997,8,7.683366667,7.63337,7.916633333,7.633363333,7.600003333,8.116666667,8.10003,7.783363333,7.69997,8.2833,8.16663,9.166696667,7.85,9.83337,7.716666667,8.23333,7.883363333
254,male,7.916667,8.083266667,8.416966667,6.583666667,8.000033333,7.916633333,8.916666667,7.916666667,6.916666667,6.916666667,7.916666667,8.166666667,7.916666667,9.333333333,7.166666667,7.916666667,7.416666667,8.166666667,7.583366667,6.916666667,8.333333333
255,female,9,9.416666667,11.05,12.36633333,10.83333,10.58333333,11.15033333,8.13333,10.40033,12.13366667,10.26663667,10.50033,8.683336667,12.3663,9.766663333,6.450366667,6.966666667,9.383333333,12.066667,10.51663333,12.417
256,female,4.333333333,7.249966667,6.883266667,6.95,9.183300333,7.916333333,6.4167,3.7167,0.649966667,11.94999667,5.799966667,18.15033333,5.233336667,7.2167,3.899966667,5.783,12.03336667,4.5333,3.850033333,21.81696667,5.666666667
257,male,7.833333333,8.833333333,10.83333333,8.9,8.333333333,7.966666667,7.833333333,7.333336667,6.916666667,9.416666667,13,10.58333333,9.333333333,7.416666667,7.75,7.416666667,8.116666667,10.66666333,9.033336667,8.499996667,7.749996667
258,female,8.916666667,8.833333333,9,9,9.5,10,10.08333333,8.916666667,8.916666667,8.95,9,9,9.833333333,9.083333333,9.166666667,8.883333333,8.916666667,8.833333333,9.916666667,9.983333333,8.833333333
259,female,7.5,8.166666667,8.833333333,8.666633333,9.583333333,9.25,7.083333333,9.666666667,9.666666667,9.833333333,10.25,8.33333,7.16667,8.666666667,8.333333333,8.166666667,8,6.666633333,8.24997,7.666666667,7.7833
260,female,8.833333333,8.416666667,7.916666667,5.0833,7.25,5.416633333,9,8.833333333,7,9.916666667,4.8333,8.333336667,5.749966667,8.666666667,7,8.916666667,6.416633333,7.333333333,6.749966667,8,7.5
261,female,6.25,11,8.666666667,6.166666667,8.333333333,6.333333333,9.333333333,7.416666667,8.75,8.666666667,10.5,10.75,8.25,9,7.583333333,7.083333333,9,7.666666667,6.416666667,6,8.833333333
262,female,8.5,8.333333333,11.75,8.583333333,9.333333333,5.333333333,9.416666667,8.916666667,10.83333333,6.666666667,7.833333333,5.666666667,8.166666667,6.333333333,8.166666667,7.416666667,7.583333333,6.583333333,7.25,6.583333333,8.416666667
263,female,8.833333333,9.166666667,8.833333333,8.75,7.833333333,7.000033333,7.166666667,8.666666667,8.833333333,8.083333333,6.833333333,6.083333333,5.083366667,6.25,5.833333333,5.333333333,9.000033333,7.166666667,5.916666667,4.333333333,5.333333333
264,female,6.833333333,8.916666667,7.833333333,7.833333333,8.833333333,8.75,8.833333333,8.916666667,8.916666667,5.916666667,7.916666667,10.91666667,6.833333333,6.75,6.5,6.833333333,4.833333333,5.916666667,12.83333333,8.833333333,8.833333333
265,male,6.833333333,7.35,7.3,6.716666667,7.166666667,8.199966667,7.85,7.1833,7.4833,8.283333333,7.4667,7.266633333,9.1833,7.883366667,8.05,9.066666667,5.5833,7.0166,7.5667,8.366666667,7.133333333
266,male,8.600333333,9.066666667,5.349666667,6.733333333,4.1667,5.749966667,4.916666667,7.0333,6.383333333,5.1163,7.966666667,8.4,4.7,6.05,8.666666667,7.35,5.333,6.800366667,4.683366667,6.1,6.183366667
267,male,8.083333333,6,10.33333333,10.08333333,6.416666667,8.333333333,6.916666667,8.666666667,6.083333333,10.25,11.08333333,5.583333333,7,9.5,8.166666667,5.666666667,9.166666667,9.666666667,5.833333333,8.583333333,9.333333333
268,male,13.33333333,6.166666667,12,9.416633333,12.50000333,9.2,10.83333367,8.3333,9.25,11.5,8.416666667,9.833333333,11.58333333,8.666666667,8.166666667,8.75,7.166666667,9.416666667,9.833333333,11.08333333,10.25
269,male,9.266663333,8.16667,6.883333333,7.233366667,6.916703333,6.533336667,7.6833,6.949966667,7.383303333,10.88363333,9.95,12.43336667,9.216666667,10.68326667,8.999996667,7.049966667,13.23366667,10.05,9.5833,9.033296667,8.383299667
270,female,9.5,8.733366667,10.167,9.900333333,5.883333333,9.75,5.116666667,10.31666667,8.500036667,6.999966667,11.33333333,5.833363333,6.7,4.25,11.75,8.333333333,8.5,6.000033333,9.0833,6.083333333,4.333333333
271,female,10,9,9,4,4.833333333,9.5,5.833333333,10.33333333,11.83333333,8,7.833333333,8.333333333,7.166666667,6.666666667,7.666666667,8,9.833333333,9.666666667,6.666666667,5.833333333,9.666666667
272,female,6.666633333,8.5833,8.416336667,4.416666667,6.249966667,6.33333,9,6.9166,9.999996667,8.9167,2.666633333,5.749966667,6.250066667,8.133333333,6.999966667,8.6833,9.75,7.016666667,7.833366667,6.666666667,6.466663333
273,female,7.916666667,7.833333333,7.833333333,10.83333333,8.833333333,9.916666667,9.916666667,9.916666667,7.833333333,9.833333333,11.83333333,8.916666667,9.833333333,9.833333333,8.833333333,8.833333333,8.833333333,11.83333333,9.916666667,9.916666667,8.916666667
274,female,6.88333,7.433333333,3.5,9.116666667,8.000003333,7.66667,8.166663333,8.499999667,7.25,6.9167,9.5,9.150003333,9.0833,5.950033333,9.083336667,8.66667,7.833333333,7.33333,7.716663333,7.3333,5.983366667
275,female,7.5503,8.30003,9.13337,8.166696667,6.383366667,5.516733333,7.716666667,7.649996667,8.933366667,6.716633333,7.949966667,8.0333,7.933336667,6.833333333,8.533303333,9.083296667,4.5667,6.216666667,6.450033333,7.016666667,9.783366667
276,female,8.3167,7.849966667,6.0833,7.5833,7.666666667,7.8833,7.116666667,7.833333333,8.316696667,7.000033333,7.250033667,8.45,8.850036667,5.249933333,8.0833,8.967,8.01667,9,9.082996667,8.916696667,6.500033333
277,male,1.783333333,7.416666667,12.56666667,9.783333333,8.383333333,1.183333333,1.816666667,0.933333333,6.383333333,9.633333333,8.233333333,8.516666667,2.75,5.966666667,1.3,6.683333333,3.383333333,9.566666667,8.183333333,2.433333333,6.75
278,female,4.833366667,8,9,8.916666667,7.25,7.583333333,9.5,6.75,7.333,9.833333333,10.91667,9.25,9.000033333,10.5,6.4167,9.416633667,9.2497,9.916663333,8.5,6.583333333,7.416633333
279,female,6.066666667,6.816633333,10.00036667,7.25,10.08333333,6.333366667,8.416666667,7.249966667,7.75,8.083336667,9.783666667,9.749666667,5.416633333,7.8333,6.249966667,4.333333333,7.25,8.8333,7.416666667,8.083333333,7.333333333
280,female,7,6.416666667,6.966666667,9.766666667,6.166666667,6.416666667,7.933333333,5.466633333,6.45,5.933333333,7.916666667,7.783333333,5.9,4.933333333,6.966666667,6.866666667,5.833333333,10.4,8.25,5.933333333,3
